Date,Temp
20210601,31.2
20210602,31.1
20210603,32.7
20210604,30.2
20210605,30.0
20210606,30.9
20210607,32.0
20210608,32.7
20210609,29.8
20210610,32.6
20210611,33.2
20210612,30.6
20210613,32.4
20210614,31.6
20210615,31.2
20210616,32.1
20210617,32.4
20210618,32.6
20210619,32.4
20210620,32.6
20210621,32.1
20210622,29.6
20210623,30.0
