Start date/time,Total Consumption (Unit)
2021-03-24,4.300000000000001
2021-03-25,5.300000000000002
2021-03-26,5.300000000000001
2021-03-27,4.500000000000001
2021-03-28,4.7
2021-03-29,7.300000000000001
2021-03-30,7.199999999999998
2021-03-31,5.500000000000001
2021-04-01,5.8
2021-04-02,7.300000000000001
2021-04-03,6.400000000000002
2021-04-04,6.999999999999999
2021-04-05,7.000000000000001
2021-04-06,5.6
2021-04-07,4.6000000000000005
2021-04-08,5.000000000000001
2021-04-09,5.900000000000002
2021-04-10,5.600000000000001
2021-04-11,4.200000000000001
2021-04-12,6.7
2021-04-13,5.400000000000001
2021-04-14,5.1000000000000005
2021-04-15,4.800000000000001
2021-04-16,7.199999999999999
2021-04-17,7.3
2021-04-18,5.200000000000001
2021-04-19,5.1000000000000005
2021-04-20,5.600000000000001
2021-04-21,5.500000000000001
2021-04-22,5.200000000000001
2021-04-23,7.700000000000001
2021-04-24,6.499999999999998
2021-04-25,6.800000000000001
2021-04-26,7.300000000000001
2021-04-27,6.300000000000002
2021-04-28,6.199999999999999
2021-04-29,4.900000000000001
2021-04-30,4.500000000000001
2021-05-01,5.500000000000001
2021-05-02,10.200000000000001
2021-05-03,5.400000000000001
2021-05-04,6.4
2021-05-05,7.500000000000001
2021-05-06,5.800000000000002
2021-05-07,6.999999999999999
2021-05-08,6.999999999999999
2021-05-09,8.899999999999999
2021-05-10,8.7
2021-05-11,8.6
2021-05-12,11.799999999999997
2021-05-13,11.600000000000003
2021-05-14,13.4
2021-05-15,12.899999999999999
2021-05-16,11.099999999999998
2021-05-17,11.8
2021-05-18,11.400000000000002
2021-05-19,11.799999999999999
2021-05-20,15.2
2021-05-21,17.6
2021-05-22,16.4
2021-05-23,14.999999999999996
2021-05-24,20.400000000000002
2021-05-25,12.5
2021-05-26,14.3
2021-05-27,11.3
2021-05-28,17.6
2021-05-29,15.899999999999999
2021-05-30,17.4
2021-05-31,15.499999999999998
2021-06-01,12.1
2021-06-02,14.3
2021-06-03,12.8
2021-06-04,10.499999999999998
2021-06-05,8.5
2021-06-06,11.4
2021-06-07,10.899999999999999
2021-06-08,15.5
2021-06-09,12.0
2021-06-10,15.2
2021-06-11,12.4
2021-06-12,10.700000000000001
2021-06-13,9.5
2021-06-14,10.799999999999999
2021-06-15,11.8
2021-06-16,14.2
2021-06-17,12.199999999999998
2021-06-18,14.100000000000001
2021-06-19,13.999999999999998
2021-06-20,14.099999999999998
2021-06-21,22.3
2021-06-22,6.6000000000000005
